id,partida_id,jogador_id,clube_id,tipo_evento,tipo_gol,minuto
771,103,276,3,Gol,Normal,6
772,103,269,7,Gol,Normal,56
773,103,270,7,Substituição,,
774,103,82,7,Substituição,,
775,103,338,3,Entrou,,
776,103,293,7,Entrou,,
777,103,405,7,Entrou,,
778,104,142,12,Gol,Normal,22
779,104,206,17,Substituição,,
780,104,205,17,Substituição,,
781,104,207,17,Entrou,,
782,104,263,17,Entrou,,
783,105,194,16,Substituição,,
784,105,193,16,Substituição,,
785,105,273,6,Substituição,,
786,105,324,6,Substituição,,
787,105,70,6,Gol,Normal,55
788,105,70,6,Gol,Normal,77
789,105,325,6,Gol,Normal,75
790,105,268,16,Entrou,,
791,105,198,16,Entrou,,
792,105,63,6,Entrou,,
793,105,66,6,Entrou,,
794,106,107,9,Substituição,,
795,106,349,18,Substituição,,
796,106,223,18,Gol,Normal,87
797,106,360,9,Entrou,,
798,106,221,18,Entrou,,
799,107,42,4,Gol,Normal,77
800,107,348,4,Substituição,,
801,107,48,4,Substituição,,
802,107,184,15,Substituição,,
803,107,319,15,Gol,Normal,43
804,107,183,15,Gol,Normal,70
805,107,183,15,Substituição,,
806,107,370,4,Entrou,,
807,107,363,4,Entrou,,
808,107,196,15,Entrou,,
809,107,323,15,Entrou,,
810,108,152,13,Substituição,,
811,108,160,13,Substituição,,
812,108,14,2,Cartão Vermelho,,
813,108,21,2,Gol,Normal,58
814,108,21,2,Substituição,,
815,108,408,13,Entrou,,
816,108,156,13,Entrou,,
817,108,156,13,Gol,Normal,90
818,108,280,2,Entrou,,
819,109,162,14,Substituição,,
820,109,340,5,Substituição,,
821,109,306,5,Substituição,,
822,109,163,14,Entrou,,
823,109,56,5,Entrou,,
824,109,57,5,Entrou,,
825,110,411,1,Gol,Normal,40
826,110,411,1,Substituição,,
827,110,93,8,Substituição,,
828,110,94,8,Gol,Normal,68
829,110,339,1,Entrou,,
830,110,394,8,Entrou,,
831,110,394,8,Gol,Normal,70
832,111,131,11,Substituição,,
833,111,282,11,Gol,Normal,3
834,111,282,11,Cartão Vermelho,,
835,111,310,11,Substituição,,
836,111,331,20,Substituição,,
837,111,243,20,Gol,Normal,14
838,111,250,20,Substituição,,
839,111,412,11,Entrou,,
840,111,284,11,Entrou,,
841,111,241,20,Entrou,,
842,111,413,20,Entrou,,
843,112,61,6,Cartão Vermelho,,
844,112,324,6,Gol,Normal,71
845,112,324,6,Substituição,,
846,112,325,6,Substituição,,
847,112,70,6,Gol,Normal,30
848,112,241,20,Substituição,,
849,112,245,20,Gol,Normal,5
850,112,250,20,Substituição,,
851,112,368,6,Entrou,,
852,112,344,6,Entrou,,
853,112,331,20,Entrou,,
854,112,413,20,Entrou,,
855,113,151,13,Substituição,,
856,113,160,13,Substituição,,
857,113,351,13,Gol,Normal,51
858,113,351,13,Gol,Normal,68
