Nome,Primeira_Alcunha,Mascote,Fundação
São Bernardo Futebol Clube,,Tigre,20 de dezembrode2004(20 anos)
Atlético Cajazeirense de Desportos,,Trovão Azul,3 de julhode1948(76 anos)
Colo Colo de Futebol e Regatas,,Tigre,3 de abrilde1948(77 anos)
Real Brasília Futebol Clube,N/A,Leão do Planalto,22 de fevereirode1996(29 anos)1 de novembrode2016(8 anos) (como Real Brasília FC)
Andirá Esporte Clube,,Morcego,1 de novembrode1964(60 anos)
CFZ de Brasília,,Galinho,1 de agostode1999(25 anos)
Associação Atlética Corisabbá,",",Águia,24 de maiode1973(52 anos)
Nacional Atlético Clube,,Ferroviário,16 de fevereirode1919(106 anos)
Atlético Clube Paranavaí,,Diabo,14 de marçode1946(79 anos)[3]
Cianorte Futebol Clube,,Leôncio,13 de fevereirode2002(23 anos)
Globo Futebol Clube,,Águia-de-cabeça-branca,18 de outubrode2012(12 anos)
Associação Atlética Portuguesa (Rio de Janeiro),,Zebra,17 de dezembrode1924(100 anos)[3]
Esporte Clube Jacuipense,,Leão,21 de abrilde1965(60 anos)
São Raimundo Esporte Clube,,Pantera,9 de janeirode1944(81 anos)[6]
Sport Club Genus de Porto Velho,,Urso branco[2],15 de novembrode1991(33 anos)[3]
Esporte Clube Águia Negra,N/A,águia[1],31 de maiode1972[1]
Grêmio Esportivo Juventus,,Moleque Travesso,1 de maiode1966(59 anos)
Sociedade Esportiva Ypiranga Futebol Clube,,Máquina de costura,3 de julhode1938(86 anos)
Castanhal Esporte Clube,,Japiim,7 de setembrode1924(100 anos)
Grêmio Esportivo Anápolis,,Raposa,3 de marçode1999(26 anos)(como Grêmio Esportivo Inhumense)Desde4 de setembrode2005(19 anos)(como Grêmio Esportivo Anápolis)
União Atlético Clube,",",Guerreiro Spartano,27 de maiode1992(33 anos)
Clube 15 de Novembro,,Alemãozinho,15 de novembrode1911(113 anos)
ADAP/Galo Maringá Futebol Clube,,Galo,21 de marçode2005
Amapá Clube,,Zebra,23 de fevereirode1944(81 anos)
Clube Municipal Ananindeua,N/A,Tartaruga,3 de janeirode1978(47 anos)
Clube Atlético Hermann Aichinger,N/A,Capeta[1][2],20 de setembrode1951(73 anos)
Bacabal Esporte Clube,,Leão,14 de maiode1974(51 anos)
Barras Futebol Club,,Leão,15 de novembrode2004(20 anos)
Batel Guarapuava,N/A,Lobo,17 de marçode1951(74 anos)
Associação Esportiva Caxiense,N/A,N/A,23 de abrilde1973[1]
Sociedade Esportiva Ceilandense,N/A,Arara,8 de outubrode1977(47 anos)[nota 1]
Atlético Clube Corintians,,Galo,25 de janeirode1968(57 anos)
Grêmio Atlético Coariense,,Gavião,6 de janeirode1977(48 anos)
Grêmio Esportivo Jaciara,,Gaúcho Pilchado,15 de junhode1975(49 anos)
Esporte Clube Ipitanga Bahia,,Tucano,20 de setembrode2003(21 anos)
Itapipoca Esporte Clube,,Garoto Travesso,20 de dezembrode1993(31 anos)[1]
Atlético Clube Izabelense,,Frango,26 de abrilde1924(101 anos)
Associação Esportiva Jataiense,,Raposa,11 de janeirode1952(73 anos)
Kaburé Esporte Clube,N/A,Coruja,5 de janeirode1985(40 anos)
Linhares Futebol Clube,N/A,Coruja Azul,16 de agostode2001(23 anos)
Centro Sportivo Maruinense,,Fantasma,3 de abrilde1917(108 anos)[4]
Sociedade Esportiva Matonense,SEMA,Águia[3],24 de maiode1976(49 anos)
Palmeiras Nordeste Futebol Ltda.,N/A,Periquito,10 de agostode2000
Planaltina Esporte Clube,N/A,Galo,30 de maiode1963(62 anos)[nota 1]
Ponta Grossa Esporte Clube,N/A,N/A,30 de junhode1994
Atlético Progresso Clube,,Canarinho,21 de julhode1959(65 anos)
Sociedade Esportiva Santa Inês,,Canário[1],1 de dezembrode1998(26 anos)[1]
São Gonçalo Futebol Clube (Rio Grande do Norte),,Touro,28 de julhode1999
Sertãozinho Futebol Clube,,Touro,6 de agostode1944(80 anos)
Esporte Clube Taveirópolis,,N/A,30 de junhode1938(86 anos)
Associação Desportiva Vasco da Gama,,Almirante português,28 de junhode1952(72 anos)
Esporte Clube Viana,,Leão,15 de julhode1995(29 anos)
Sociedade Desportiva Juazeirense,,Cancão de Fogo,12 de dezembrode2006(18 anos)
Clube Atlético Metropolitano,,Crocodilo,22 de janeirode2002(23 anos)
Santos Futebol Clube,,Peixe,11 de maiode1973(52 anos)
Trem Desportivo Clube,,Maquinista,1 de janeirode1947(78 anos)
Boavista Sport Club,,Hulk,14 de outubrode1961(63 anos)
Maringá Futebol Clube,,Cachorro,07 de julhode2010(14 anos)
Esporte Clube Primeiro Passo Vitória da Conquista,,Bode,21 de janeirode2005(20 anos)[4]
Futebol Clube Atlético Cearense,,Águia,7 de marçode1997(28 anos)(como CT Uniclinic)
União Recreativa dos Trabalhadores,,Pato,9 de julhode1939(85 anos)
Retrô Futebol Clube Brasil,Fênix de Camaragibe,N/A,15 de fevereirode2016(9 anos)
Associação Atlética Luziânia,N/A,Igreja[1],13 de dezembrode1926(98 anos)
Pouso Alegre Futebol Clube,,Dragão,15 de novembrode1913(111 anos)
Esporte Clube São Luiz,,Zangão[3],20 de fevereirode1938(87 anos)[4]
Clube Atlético Cristal,N/A,Dragão,15 de novembrode1969(55 anos)
Grêmio Atlético Sampaio,,Leão,11 de junhode1965(59 anos)
Horizonte Futebol Clube,,Galo,27 de marçode2004(21 anos)
Clube Atlético Linense,,Elefante,12 de junhode1927(97 anos)[1]
Petrolina Social Futebol Clube,,Tigre,11 de novembrode1998(26 anos)
São Francisco Futebol Clube,,Leão,30 de outubrode1929(95 anos)[5]
Sociedade Esportiva Vila Aurora,,Tigre,5 de maiode1964(61 anos)[2]
América Futebol Clube,,Diabo,2 de agostode1939(85 anos)
Associação Botafogo Futebol Clube,,ManequinhoDragão,14 de julhode2004(20 anos) (como Clube Esportivo Guará)
Camaçari Futebol Clube,,Guarajuba,8 de novembrode1968(56 anos)
Flamengo Sport Club de Arcoverde,,Tigre,1 de maiode1959(66 anos)[1]
Sport Clube Gaúcho,Periquito do Boqueirão,Periquito,12 de maiode1918(107 anos)
Guarani Esporte Clube (Minas Gerais),,Tamanduá,20 de setembrode1930(94 anos)[2]
Esporte Clube Macapá,,Leão,7 de setembrode1941(83 anos)
Nacional Atlético Clube (Paraná),,Capivarão,28 de abrilde1947(78 anos)[4]
Sport Club Santa Cruz,,Gavião,30 de novembrode2003(21 anos)
Associação Atlética São Mateus,,Pitbull,13 de dezembrode1963(61 anos)
Toledo Esporte Clube,,Teco (Porco)[6],10 de fevereirode2004(21 anos)
Abaeté Futebol Clube,N/A,Guará,5 de marçode1936(89 anos)
Associação Desportiva Senador Guiomard,,Leão,26 de janeirode1982(43 anos)
Associação Atlética Alvorada,Águia do Norte,Águia,26 de janeirode1993(32 anos)
Associação Esportiva Araçatuba,,Canário[1],15 de dezembrode1972(52 anos)
Sociedade Esportiva Ariquemes,N/A,N/A,11 de abrilde1981
