ID,clube,nome_completo,cidade,UF,região,ano_fundação,cores,ID_Ogol
24,Fortaleza,Fortaleza,Fortaleza,CE,Nordeste,1918,N/A,N/A
25,Ponte Preta,Clubes,Campinas,SP,Sudeste,N/A,N/A,N/A
26,Santa Cruz,Clubes,Recife,PE,Nordeste,N/A,N/A,N/A
27,Juventude,Clubes,Caxias do Sul,RS,Sul,N/A,N/A,N/A
28,América Mineiro,Clubes,Belo Horizonte,MG,Sudeste,N/A,N/A,N/A
29,CSA,ogol.com.br,Maceió,AL,Nordeste,N/A,N/A,N/A
30,America-RJ,ogol.com.br,Rio de Janeiro,RJ,Sudeste,N/A,N/A,N/A
31,Figueirense,ogol.com.br,Florianópolis,SC,Sul,N/A,N/A,N/A
32,Remo,ogol.com.br,Belém,PA,Norte,N/A,N/A,N/A
33,Paraná,ogol.com.br,Curitiba,PR,Sul,N/A,N/A,N/A
34,Nacional-AM,ogol.com.br,Manaus,AM,Norte,N/A,N/A,N/A
35,América-RN,ogol.com.br,Natal,RN,Nordeste,N/A,N/A,N/A
36,Red Bull Bragantino [RBB],ogol.com.br,Bragança Paulista,SP,Sudeste,N/A,N/A,N/A
37,Desportiva Capixaba,ogol.com.br,Cariacica,ES,Sudeste,N/A,N/A,N/A
38,Criciúma,ogol.com.br,Criciúma,SC,Sul,N/A,N/A,N/A
39,ABC,ogol.com.br,Natal,RN,Nordeste,N/A,N/A,N/A
40,Atlético Goianiense,ogol.com.br,Goiânia,GO,Centro-Oeste,N/A,N/A,N/A
41,Rio Branco-ES,ogol.com.br,Vitória,ES,Sudeste,N/A,N/A,N/A
42,Sampaio Corrêa,ogol.com.br,São Luís,MA,Nordeste,N/A,N/A,N/A
43,Joinville,ogol.com.br,Joinville,SC,Sul,N/A,N/A,N/A
44,Sergipe,ogol.com.br,Aracaju,SE,Nordeste,N/A,N/A,N/A
45,CRB,ogol.com.br,Maceió,AL,Nordeste,N/A,N/A,N/A
46,Avaí,ogol.com.br,Florianópolis,SC,Sul,N/A,N/A,N/A
47,Moto Club,ogol.com.br,São Luís,MA,Nordeste,N/A,N/A,N/A
