Estádio,Capacidade,Localização
BayArena,N/A,N/A
Estádio Carlos Alberto da Costa Neves,5.000,N/A
Geraldão,6500,"Cáceres,MT"
N/A,N/A,"Cachoeiro de Itapemirim,Espírito Santo,Brasil"
Serra de Caldas,5.000,"Caldas Novas,Goiás,Brasil"
Ernestão[5],5.0006,"Joinville,Santa Catarina,Brasil"
Varedão,3.500,"Limoeiro,Pernambuco,Brasil"
Aluízio Ferreira,7.000,"Porto Velho,Brasil"
Estádio Antunes,4.000,N/A
N/A,N/A,"Chapadão do Sul,Mato Grosso do Sul"
Lucidão,23001,"Chapadinha,Brasil"
Prudentão,44.414,N/A
Municipal Víctor Trovão,5.000,N/A
N/A,N/A,"Coxim,Mato Grosso do Sul"
João Cavalcante de Menezes,2340,"Engenheiro Beltrão,PR,Brasil"
Bandeirão,5.000,"Limoeiro do Norte,Ceará"
Juventino Dias,5000,N/A
Sílvio Porto,4000,"Guarabira,PB"
Taba Índia,10000,N/A
Chicão,8000,"Rio Preto da Eva,AM"
Estádio Municipal Antiocho Pereira[6],4.0877,"União da Vitória,Paraná,Brasil"
Galdenção,5.0001,"Itacuruba,Brasil"
Conilon,2.6641,N/A
Leal Chapelão,30002,N/A
Asa Delta,12000,N/A
Barretão,8000,"Lagarto,SE"
Vidal Ramos Júnior,96001,"Lages,Santa Catarina,Brasil"
Mané Garrincha,680092,"Brasília,DF, Brasil"
Bandeirão,5.000,"Limoeiro do Norte,Ceará"
Estádio Guilherme Augusto de Carvalho,5.000,"Linhares,ES"
Bernardo Queiroz,10.252,"Patos de Minas,MG,Brasil"
Agamenón Magalhães,13001,"Recife,Brasil"
Odilon Flores,7.000,"Mineiros,Brasil"
José Maria de Melo,5000,"Montes Claros,MG"
Durval Ferreira Franco,3.100,"Ipameri,GO"
Maria Tereza Breda,15.022,N/A
N/A,N/A,N/A
N/A,N/A,"Várzea Grande,Mato Grosso"
N/A,N/A,"Paraíso do Tocantins,TO"
JK Paranoá,40001,"Paranoá,DF,Brasil"
Vermelhão da Serra,150001,N/A
Morada dos Quero-Queros,2.000,"Alvorada,RS"
Estádio Municipal Prefeito André Moura,3.000,"Pirambu,SE"
